epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,838.246,1.14126,0.79355,0.97323,0.93388,0.872,0.94446,0.67651,0.99594,0.67686,0.95778,0.000177651,0.000177651,0.000177651
75,849.569,1.12422,0.79998,0.96523,0.92446,0.88439,0.94748,0.6718,1.02643,0.67163,0.96273,0.000166149,0.000166149,0.000166149
76,860.817,1.12092,0.78528,0.96927,0.90935,0.89515,0.94756,0.69664,0.95499,0.65654,0.94701,0.000154982,0.000154982,0.000154982
77,872.568,1.11016,0.78322,0.9646,0.92447,0.89332,0.94798,0.69242,0.9564,0.65654,0.94836,0.000144161,0.000144161,0.000144161
78,883.589,1.11213,0.78817,0.95767,0.93882,0.87731,0.94616,0.69481,0.94838,0.65691,0.94452,0.000133695,0.000133695,0.000133695
79,894.796,1.1123,0.7857,0.96593,0.93551,0.87733,0.9444,0.67977,0.9838,0.67103,0.95278,0.000123596,0.000123596,0.000123596
80,906.203,1.12553,0.78836,0.96394,0.92468,0.88349,0.9448,0.63565,1.13394,0.69328,0.98786,0.000113873,0.000113873,0.000113873
81,917.107,1.13646,0.78923,0.95897,0.92969,0.8924,0.94905,0.69402,0.95604,0.64933,0.94417,0.000104537,0.000104537,0.000104537
82,927.811,1.1084,0.77496,0.9662,0.9369,0.87922,0.94919,0.69392,0.96144,0.65151,0.94495,9.55951e-05,9.55951e-05,9.55951e-05
83,938.622,1.10805,0.78112,0.9627,0.92943,0.88674,0.95012,0.70125,0.94596,0.6482,0.94163,8.70577e-05,8.70577e-05,8.70577e-05
84,950.342,1.09009,0.76233,0.95068,0.92758,0.89355,0.94844,0.69048,0.96884,0.65316,0.94833,7.89327e-05,7.89327e-05,7.89327e-05
85,961.149,1.10566,0.77319,0.956,0.91855,0.89465,0.9468,0.6822,0.9814,0.65898,0.95204,7.12282e-05,7.12282e-05,7.12282e-05
86,971.424,1.08213,0.7662,0.95409,0.92755,0.88923,0.94687,0.69089,0.97319,0.6583,0.94961,6.39518e-05,6.39518e-05,6.39518e-05
87,982.566,1.09587,0.77158,0.95716,0.93496,0.88348,0.94737,0.69288,0.95252,0.65329,0.94403,5.71106e-05,5.71106e-05,5.71106e-05
88,993.6,1.08219,0.76475,0.95872,0.9349,0.88092,0.94806,0.69645,0.9453,0.65218,0.943,5.07115e-05,5.07115e-05,5.07115e-05
89,1004.85,1.09689,0.76646,0.95809,0.93856,0.8786,0.94905,0.69874,0.9405,0.64767,0.94189,4.47606e-05,4.47606e-05,4.47606e-05
90,1016.61,1.08193,0.77481,0.95605,0.93725,0.88557,0.94902,0.69642,0.94559,0.64355,0.94317,3.9264e-05,3.9264e-05,3.9264e-05
91,1032.29,1.03657,0.71643,0.96957,0.92749,0.8899,0.94686,0.68203,0.98031,0.65753,0.95107,3.4227e-05,3.4227e-05,3.4227e-05
92,1041.92,1.05273,0.69326,0.96272,0.9353,0.88141,0.9476,0.69132,0.9629,0.65607,0.94634,2.96546e-05,2.96546e-05,2.96546e-05
93,1052.13,1.00621,0.67313,0.96154,0.92655,0.89995,0.95068,0.70065,0.93839,0.64766,0.94079,2.55513e-05,2.55513e-05,2.55513e-05
94,1061.91,0.99381,0.66063,0.95786,0.93041,0.89531,0.9491,0.67923,1.00116,0.66086,0.95562,2.19212e-05,2.19212e-05,2.19212e-05
95,1071.76,1.00291,0.66089,0.95481,0.93454,0.89239,0.94956,0.69187,0.96515,0.65535,0.94682,1.87678e-05,1.87678e-05,1.87678e-05
96,1081.29,0.9879,0.65804,0.95401,0.93105,0.8945,0.95222,0.69921,0.94458,0.64999,0.94095,1.60943e-05,1.60943e-05,1.60943e-05
97,1091.38,0.99244,0.65384,0.95822,0.93746,0.89333,0.95197,0.69706,0.94307,0.64735,0.94028,1.39032e-05,1.39032e-05,1.39032e-05
98,1101.07,0.99873,0.66115,0.96467,0.92334,0.8955,0.95149,0.69515,0.95029,0.64944,0.94187,1.21968e-05,1.21968e-05,1.21968e-05
99,1111.24,0.99691,0.65663,0.95384,0.92497,0.89351,0.95172,0.69788,0.94397,0.64814,0.94002,1.09768e-05,1.09768e-05,1.09768e-05
100,1121.29,0.98231,0.65034,0.95478,0.92776,0.89174,0.95211,0.70006,0.94334,0.64623,0.93979,1.02443e-05,1.02443e-05,1.02443e-05
