name,layer_type,output_precision,output_formats
"/model.18/cv2/conv/Conv + PWN(PWN(/model.18/cv2/act/Sigmoid), PWN(/model.18/cv2/act/Mul))",CaskConvolution,INT8,Thirty-two wide channel vectorized row major Int8 format
"/model.19/conv/Conv + PWN(PWN(/model.19/act/Sigmoid), PWN(/model.19/act/Mul))",CaskConvolution,INT8,Thirty-two wide channel vectorized row major Int8 format
/model.19/act/Mul_output_0 copy,Reformat,INT8,Thirty-two wide channel vectorized row major Int8 format
/model.9/cv2/act/Mul_output_0 copy,Reformat,INT8,Thirty-two wide channel vectorized row major Int8 format
/model.21/cv0/conv/Conv || /model.21/cv1/conv/Conv,CaskConvolution,INT8,Thirty-two wide channel vectorized row major Int8 format
Reformatting CopyNode for Output Tensor 0 to /model.21/cv0/conv/Conv || /model.21/cv1/conv/Conv,Reformat,FP32,Row major linear FP32
"PWN(PWN(/model.21/cv0/act/Sigmoid), PWN(/model.21/cv0/act/Mul))",PointWiseV2,FP32,Row major linear FP32
"PWN(PWN(/model.21/cv1/act/Sigmoid), PWN(/model.21/cv1/act/Mul))",PointWiseV2,FP32,Row major linear FP32
"/model.21/m.0/cv1/conv/Conv + PWN(PWN(/model.21/m.0/cv1/act/Sigmoid), PWN(/model.21/m.0/cv1/act/Mul))",CaskConvolution,FP32,Row major linear FP32
"/model.21/m.0/cv2/conv/Conv + PWN(PWN(/model.21/m.0/cv2/act/Sigmoid), PWN(/model.21/m.0/cv2/act/Mul))",CaskConvolution,FP32,Row major linear FP32
/model.21/cv1/act/Mul_output_0 copy,Reformat,FP32,Row major linear FP32
"Reformatting CopyNode for Input Tensor 0 to /model.21/cv2/conv/Conv + PWN(PWN(/model.21/cv2/act/Sigmoid), PWN(/model.21/cv2/act/Mul))",Reformat,INT8,Four wide channel vectorized row major Int8 format
"/model.21/cv2/conv/Conv + PWN(PWN(/model.21/cv2/act/Sigmoid), PWN(/model.21/cv2/act/Mul))",CaskConvolution,INT8,Thirty-two wide channel vectorized row major Int8 format
/model.22/cv2.2/cv2.2.0/conv/Conv || /model.22/cv3.2/cv3.2.0/conv/Conv,CaskConvolution,INT8,Thirty-two wide channel vectorized row major Int8 format
Reformatting CopyNode for Output Tensor 0 to /model.22/cv2.2/cv2.2.0/conv/Conv || /model.22/cv3.2/cv3.2.0/conv/Conv,Reformat,FP32,Row major linear FP32
"PWN(PWN(/model.22/cv2.2/cv2.2.0/act/Sigmoid), PWN(/model.22/cv2.2/cv2.2.0/act/Mul))",PointWiseV2,FP32,Row major linear FP32
"/model.22/cv2.2/cv2.2.1/conv/Conv + PWN(PWN(/model.22/cv2.2/cv2.2.1/act/Sigmoid), PWN(/model.22/cv2.2/cv2.2.1/act/Mul))",CaskConvolution,FP32,Row major linear FP32
/model.22/cv2.2/cv2.2.2/Conv,CaskConvolution,FP32,Row major linear FP32
/model.22/Reshape_2,NoOp,FP32,Row major linear FP32
/model.22/Reshape_2_copy_output,Reformat,FP32,Row major linear FP32
"PWN(PWN(/model.22/cv3.2/cv3.2.0/act/Sigmoid), PWN(/model.22/cv3.2/cv3.2.0/act/Mul))",PointWiseV2,FP32,Row major linear FP32
"/model.22/cv3.2/cv3.2.1/conv/Conv + PWN(PWN(/model.22/cv3.2/cv3.2.1/act/Sigmoid), PWN(/model.22/cv3.2/cv3.2.1/act/Mul))",CaskConvolution,FP32,Row major linear FP32
/model.22/cv3.2/cv3.2.2/Conv,CaskConvolution,FP32,Row major linear FP32
/model.22/Reshape_5,NoOp,FP32,Row major linear FP32
/model.22/Reshape_5_copy_output,Reformat,FP32,Row major linear FP32
/model.22/cv2.1/cv2.1.0/conv/Conv || /model.22/cv3.1/cv3.1.0/conv/Conv,CaskConvolution,INT8,Thirty-two wide channel vectorized row major Int8 format
Reformatting CopyNode for Output Tensor 0 to /model.22/cv2.1/cv2.1.0/conv/Conv || /model.22/cv3.1/cv3.1.0/conv/Conv,Reformat,FP32,Row major linear FP32
"PWN(PWN(/model.22/cv2.1/cv2.1.0/act/Sigmoid), PWN(/model.22/cv2.1/cv2.1.0/act/Mul))",PointWiseV2,FP32,Row major linear FP32
"Reformatting CopyNode for Input Tensor 0 to /model.22/cv2.1/cv2.1.1/conv/Conv + PWN(PWN(/model.22/cv2.1/cv2.1.1/act/Sigmoid), PWN(/model.22/cv2.1/cv2.1.1/act/Mul))",Reformat,INT8,Four wide channel vectorized row major Int8 format
"/model.22/cv2.1/cv2.1.1/conv/Conv + PWN(PWN(/model.22/cv2.1/cv2.1.1/act/Sigmoid), PWN(/model.22/cv2.1/cv2.1.1/act/Mul))",CaskConvolution,INT8,Four wide channel vectorized row major Int8 format
/model.22/cv2.1/cv2.1.2/Conv,CaskConvolution,FP32,Row major linear FP32
/model.22/Reshape_1,NoOp,FP32,Row major linear FP32
/model.22/Reshape_1_copy_output,Reformat,FP32,Row major linear FP32
"PWN(PWN(/model.22/cv3.1/cv3.1.0/act/Sigmoid), PWN(/model.22/cv3.1/cv3.1.0/act/Mul))",PointWiseV2,FP32,Row major linear FP32
"Reformatting CopyNode for Input Tensor 0 to /model.22/cv3.1/cv3.1.1/conv/Conv + PWN(PWN(/model.22/cv3.1/cv3.1.1/act/Sigmoid), PWN(/model.22/cv3.1/cv3.1.1/act/Mul))",Reformat,INT8,Thirty-two wide channel vectorized row major Int8 format
"/model.22/cv3.1/cv3.1.1/conv/Conv + PWN(PWN(/model.22/cv3.1/cv3.1.1/act/Sigmoid), PWN(/model.22/cv3.1/cv3.1.1/act/Mul))",CaskConvolution,INT8,Thirty-two wide channel vectorized row major Int8 format
/model.22/cv3.1/cv3.1.2/Conv,CaskConvolution,INT8,Thirty-two wide channel vectorized row major Int8 format
/model.22/Reshape_4,Shuffle,INT8,Thirty-two wide channel vectorized row major Int8 format
/model.22/Reshape_4_copy_output,Reformat,FP32,Row major linear FP32
/model.22/cv2.0/cv2.0.0/conv/Conv || /model.22/cv3.0/cv3.0.0/conv/Conv,CaskConvolution,FP32,Row major linear FP32
"PWN(PWN(/model.22/cv2.0/cv2.0.0/act/Sigmoid), PWN(/model.22/cv2.0/cv2.0.0/act/Mul))",PointWiseV2,FP32,Row major linear FP32
"Reformatting CopyNode for Input Tensor 0 to /model.22/cv2.0/cv2.0.1/conv/Conv + PWN(PWN(/model.22/cv2.0/cv2.0.1/act/Sigmoid), PWN(/model.22/cv2.0/cv2.0.1/act/Mul))",Reformat,INT8,Four wide channel vectorized row major Int8 format
"/model.22/cv2.0/cv2.0.1/conv/Conv + PWN(PWN(/model.22/cv2.0/cv2.0.1/act/Sigmoid), PWN(/model.22/cv2.0/cv2.0.1/act/Mul))",CaskConvolution,INT8,Four wide channel vectorized row major Int8 format
/model.22/cv2.0/cv2.0.2/Conv,CaskConvolution,FP32,Row major linear FP32
/model.22/Reshape,NoOp,FP32,Row major linear FP32
/model.22/Reshape_copy_output,Reformat,FP32,Row major linear FP32
Reformatting CopyNode for Input Tensor 0 to /model.22/dfl/Reshape + /model.22/dfl/Transpose,NoOp,FP32,Row major linear FP32
/model.22/dfl/Reshape + /model.22/dfl/Transpose,Shuffle,FP32,Row major linear FP32
/model.22/dfl/Softmax,CaskSoftMaxV2,FP32,Row major linear FP32
/model.22/dfl/conv/Conv,CaskConvolution,FP32,Row major linear FP32
/model.22/dfl/Reshape_1,NoOp,FP32,Row major linear FP32
PWN(/model.22/Sub),PointWiseV2,FP32,Row major linear FP32
PWN(/model.22/Add_1),PointWiseV2,FP32,Row major linear FP32
PWN(/model.22/Sub_1),PointWiseV2,FP32,Row major linear FP32
"PWN(PWN(/model.22/Add_2), PWN(/model.22/Constant_14_output_0 + ONNXTRT_Broadcast, PWN(/model.22/Div_1)))",PointWiseV2,FP32,Row major linear FP32
