epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,567.981,0.85204,0.49756,0.88484,0.98087,0.94659,0.98352,0.68061,1.05088,0.49789,0.94024,0.0001585,0.0001585,0.0001585
87,574.58,0.87072,0.52292,0.88771,0.97498,0.94909,0.98294,0.73566,0.88657,0.46826,0.90335,0.0001486,0.0001486,0.0001486
88,581.006,0.85931,0.51608,0.88816,0.97003,0.95083,0.98229,0.65197,1.14153,0.52263,0.95955,0.0001387,0.0001387,0.0001387
89,587.573,0.86521,0.50612,0.89453,0.97554,0.95493,0.98389,0.75227,0.83133,0.45995,0.89288,0.0001288,0.0001288,0.0001288
90,594.043,0.87908,0.51083,0.88785,0.96699,0.95947,0.98218,0.74076,0.88763,0.46978,0.90231,0.0001189,0.0001189,0.0001189
91,605.869,0.85674,0.48173,0.90255,0.96829,0.96498,0.98463,0.74739,0.84939,0.47427,0.89487,0.000109,0.000109,0.000109
92,612.349,0.85511,0.4693,0.90271,0.97443,0.95619,0.98408,0.68794,1.05434,0.49443,0.93207,9.91e-05,9.91e-05,9.91e-05
93,618.468,0.81448,0.44272,0.8935,0.96895,0.96957,0.98682,0.75771,0.83134,0.44883,0.89027,8.92e-05,8.92e-05,8.92e-05
94,624.56,0.79239,0.44332,0.88784,0.96446,0.97081,0.98639,0.73727,0.88356,0.46307,0.8987,7.93e-05,7.93e-05,7.93e-05
95,630.637,0.78849,0.44271,0.88312,0.96521,0.96511,0.98686,0.76568,0.8038,0.44656,0.88546,6.94e-05,6.94e-05,6.94e-05
96,636.613,0.78771,0.43216,0.88465,0.96099,0.96712,0.98619,0.73594,0.88652,0.46242,0.90053,5.95e-05,5.95e-05,5.95e-05
97,642.944,0.81035,0.43111,0.89021,0.96942,0.96421,0.98611,0.76343,0.80374,0.44119,0.88808,4.96e-05,4.96e-05,4.96e-05
98,648.899,0.79301,0.44447,0.89662,0.96545,0.97221,0.9863,0.78524,0.74627,0.42188,0.87824,3.97e-05,3.97e-05,3.97e-05
99,654.849,0.79906,0.43144,0.88058,0.96607,0.96569,0.9861,0.74519,0.8685,0.44797,0.89821,2.98e-05,2.98e-05,2.98e-05
100,660.897,0.77464,0.43462,0.88334,0.97155,0.96339,0.98605,0.75252,0.83298,0.4414,0.89135,1.99e-05,1.99e-05,1.99e-05
