Generating SQLite file outputs/deployment_optimization/fp16_profile/p30_direct/nsys/trtexec.sqlite from outputs/deployment_optimization/fp16_profile/p30_direct/nsys/trtexec.nsys-rep
Processing [outputs/deployment_optimization/fp16_profile/p30_direct/nsys/trtexec.sqlite] with [/opt/nvidia/nsight-systems/2024.6.2/host-linux-x64/reports/cuda_api_sum.py]...
Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
1.1,1504793,50,30095.9,30464.0,27680,30688,947.5,sm75_xmma_fprop_implicit_gemm_indexed_wo_smem_f16f16_f16f16_f16_nhwckrsc_nhwc_tilesize128x32x64_stage1_warpsize4x1x1_g1_tensor16x8x8_alignc8_execute_kernel_trt
1.0,1462871,50,29257.4,29552.0,26624,29984,962.2,trt_turing_fp16x2_hcudnn_fp16x2_128x64_relu_interior_nn_v1
1.0,1429433,50,28588.7,28864.0,26335,29440,892.1,trt_turing_h1688cudnn_256x64_sliced1x2_ldg8_relu_exp_interior_nhwc_linkable_tn_v1
0.9,1334937,50,26698.7,26976.0,23840,27456,863.8,trt_volta_s884cudnn_fp16_256x64_ldg8_relu_exp_small_nhwc2nchw_tn_v1
0.9,1271033,50,25420.7,25615.5,24064,25952,512.7,"void cuInt8::nhwc8Tonchhw2<(int)32, (int)8, (int)2>(const __half *, __half *, int, int, int, int, int, int)"
0.9,1254170,250,5016.7,4256.0,3840,6464,1075.6,"void cuInt8::nhwc8Tonchhw2<(int)32, (int)32, (int)2>(const __half *, __half *, int, int, int, int, int, int)"
0.9,1233880,50,24677.6,25007.0,22592,25504,769.6,trt_turing_fp16x2_hcudnn_fp16x2_128x64_relu_medium_nn_v1
0.8,1074650,50,21493.0,21728.0,20159,21792,576.0,ResizeNearest2DKernel
0.7,987452,100,9874.5,9471.5,6304,13472,3126.5,"void genericReformat::copyPackedKernel<float, __half, (bool)1, (bool)1, genericReformat::ArrayN<(int)4>, (int)4>(unsigned int, unsigned int, const void *, genericReformat::ArrayN<T6>, genericReformat::ArrayNWithReducedDivisors<T6>, genericReformat::ArrayN<T6>, int, int, int, const float *, void *, genericReformat::ArrayN<T6>, genericReformat::ArrayNWithReducedDivisors<T6>, genericReformat::ArrayNWithReducedDivisors<T6>, genericReformat::ArrayN<T6>, int, int, int, const float *, T5)"
0.6,913658,100,9136.6,8927.5,5824,12448,2853.6,"void cuInt8::nchhw2Tonhwc8<(int)32, (int)16, (int)2>(const __half *, __half *, int, int, int, int, int, int)"
0.6,849820,50,16996.4,17072.0,15680,17952,505.6,sm50_xmma_softmax_trt_NCHW_FP16_Dim2_Threads256_execute2_kernel_trt
0.6,823067,150,5487.1,5536.0,5120,5664,147.3,"void cuInt8::nhwc8Tonchhw2<(int)32, (int)16, (int)2>(const __half *, __half *, int, int, int, int, int, int)"
0.5,778554,100,7785.5,7424.0,4512,11168,2936.3,"void genericReformat::copyVectorizedKernel<double, float, __half, (bool)1, (bool)0, (int)4>(unsigned int, const void *, genericReformat::ArrayN<T6>, genericReformat::ArrayNWithReducedDivisors<T6>, genericReformat::ArrayN<T6>, int, const float *, void *, genericReformat::ArrayN<T6>, genericReformat::ArrayNWithReducedDivisors<T6>, genericReformat::ArrayN<T6>, int, const float *)"
0.5,652028,100,6520.3,6400.0,5824,6880,295.3,"void genericReformat::copyPackedKernel<__half, __half, (bool)0, (bool)1, genericReformat::IdentityCoordMapper<(int)4>, (int)4>(unsigned int, unsigned int, const void *, genericReformat::ArrayN<T6>, genericReformat::ArrayNWithReducedDivisors<T6>, genericReformat::ArrayN<T6>, int, int, int, const float *, void *, genericReformat::ArrayN<T6>, genericReformat::ArrayNWithReducedDivisors<T6>, genericReformat::ArrayNWithReducedDivisors<T6>, genericReformat::ArrayN<T6>, int, int, int, const float *, T5)"
0.5,646653,50,12933.1,13056.0,11904,13312,393.2,sm75_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage1_warpsize2x2x1_tensor16x8x8_execute_kernel_trt
